ID,Título,Quantidade
1017,Coração de Céu,8
1018,Destino de Horizontes,9
1019,Coração de Montanha,10
1020,Esperança de Sabedoria,1
1021,Mar de Cidade,2
1022,Sombras de Ecos,3
1023,Futuro de Liberdade,4
1024,Vento de Terra,5
1025,Fronteira de Cidade,6
1026,Memória de Guerra,7
1027,Reflexo de Luz,8
1028,Mar de Alma,9
1029,Horizontes de Alma,10
1030,Eterno de Sabedoria,1
1031,Vida de Herança,2
1032,Futuro de Montanha,3
1033,Sombras de Céu,4
1034,Reflexo de Herança,5
1035,Terra de Fronteira,6
1036,Mar de Céu,7
1037,Mar de Fogo,8
1038,Viagem de Fogo,9
1039,Vento de Caminhada,10
1040,Caminhada de Eterno,1
1041,Reflexo de Guerra,2
1042,Esperança de Vida,3
1043,Sabedoria de Amor,4
1044,Alma de Refúgio,5
1045,Sabedoria de Cidade,6
1046,Céu de Raízes,7
1047,Tradição de Céu,8
1048,Futuro de Natureza,9
1049,Mar de Sonho,10
1050,Fronteira de Aventura,1
1051,Guerra de Refúgio,2
1052,Amor de Sombras,3
1053,Amor de Segredo,4
1054,Esperança de Esperança,5
1055,Viagem de Horizontes,6
1056,Vida de Memória,7
1057,Imortal de Cidade,8
1058,Ecos de Luz,9
1059,Natureza de Alma,10
1060,Mistério de Refúgio,1
1061,Fogo de Tradição,2
1062,Aventura de Natureza,3
1063,Vento de Enigma,4
1064,Imortal de Terra,5
1065,Caminhada de Labirinto,6
1066,Revolução de Guerra,7
1067,Sabedoria de Caminhada,8
1068,Horizontes de Ecos,9
1069,Horizonte de Liberdade,10
1070,Montanha de Memória,1
1071,Refúgio de Raízes,2
1072,Memória de Viagem,3
1073,Eterno de Liberdade,4
1074,Segredo de Mar,5
1075,Amor de Natureza,6
1076,Cidade de Viagem,7
1077,Memória de Fogo,8
1078,Horizontes de Raízes,9
1079,Guerra de Luz,10
1080,Vento de Cidade,1
1081,Montanha de Segredo,2
1082,Imortal de Reflexo,3
1083,Viagem de Refúgio,4
1084,Luz de Refúgio,5
1085,Segredo de Raízes,6
1086,Caminhada de Imortal,7
1087,Eterno de Destino,8
1088,Vida de Terra,9
1089,Raízes de Herança,10
1090,Renascer de Fronteira,1
1091,Cidade de Guerra,2
1092,Terra de Sonho,3
1093,Tradição de Esperança,4
1094,Sonho de Fronteira,5
1095,Horizontes de Caminho,6
1096,Enigma de Alma,7
1097,Renascer de Raízes,8
1098,Sabedoria de Fogo,9
1099,Memória de Tradição,10
1100,Alma de Labirinto,1
1101,Memória de Vida,2
1102,Mar de Memória,3
1103,Imortal de Esperança,4
1104,Vento de Futuro,5
1105,Destino de Luz,6
1106,Alma de Alma,7
1107,Tradição de Sabedoria,8
1108,Terra de Herança,9
1109,Sombras de Fronteira,10
1110,Montanha de Vida,1
1111,Labirinto de Vento,2
1112,Aventura de Reflexo,3
1113,Vida de Céu,4
1114,Herança de Fronteira,5
1115,Montanha de Vento,6
1116,Amor de Esperança,7
1117,Fronteira de Fronteira,8
1118,Refúgio de Herança,9
1119,Guerra de Vento,10
1120,Reflexo de Refúgio,1
1121,Natureza de Fogo,2
1122,Fogo de Herança,3
1123,Fogo de Sabedoria,4
1124,Futuro de Futuro,5
1125,Enigma de Destino,6
1126,Amor de Amor,7
1127,Guerra de Natureza,8
1128,Horizonte de Futuro,9
1129,Luz de Mar,10
1130,Sombras de Sonho,1
1131,Sonho de Futuro,2
1132,Liberdade de Montanha,3
1133,Mar de Terra,4
1134,Mistério de Mar,5
1135,Mistério de Fronteira,6
1136,Fronteira de Viagem,7
1137,Herança de Viagem,8
1138,Renascer de Enigma,9
1139,Segredo de Montanha,10
1140,Mar de Raízes,1
1141,Mistério de Memória,2
1142,Coração de Luz,3
1143,Herança de Amor,4
1144,Alma de Vento,5
1145,Sabedoria de Coração,6
1146,Imortal de Renascer,7
1147,Destino de Natureza,8
1148,Herança de Raízes,9
1149,Imortal de Eterno,10
1150,Céu de Enigma,1
1151,Sombras de Terra,2
1152,Esperança de Reflexo,3
1153,Luz de Renascer,4
1154,Raízes de Mar,5
1155,Enigma de Tradição,6
1156,Aventura de Memória,7
1157,Terra de Alma,8
1158,Aventura de Fronteira,9
1159,História de Guerra,10
1160,Renascer de Alma,1
1161,Caminhada de Céu,2
1162,Ecos de Vida,3
1163,Montanha de Renascer,4
1164,Esperança de Natureza,5
1165,Tradição de Futuro,6
1166,Caminhada de Coração,7
1167,Liberdade de Caminhada,8
1168,Imortal de Coração,9
1169,Vento de Luz,10
1170,Raízes de Sonho,1
1171,Horizonte de Céu,2
1172,Guerra de Guerra,3
1173,Reflexo de Mistério,4
1174,Labirinto de Fogo,5
1175,Aventura de Herança,6
1176,Renascer de Vento,7
1177,Horizonte de Segredo,8
1178,Vida de Labirinto,9
1179,Reflexo de Fogo,10
1180,Tradição de Segredo,1
1181,Viagem de Cidade,2
1182,Cidade de Luz,3
1183,Enigma de Horizonte,4
1184,Sonho de Herança,5
1185,Alma de Sonho,6
1186,Destino de Tradição,7
1187,Aventura de Sabedoria,8
1188,Coração de Enigma,9
1189,Caminho de Viagem,10
1190,Reflexo de Imortal,1
1191,Céu de Sabedoria,2
1192,Fronteira de Vento,3
1193,Enigma de Segredo,4
1194,Futuro de Refúgio,5
1195,Imortal de Enigma,6
1196,Alma de Caminhada,7
1197,Tradição de Eterno,8
1198,Aventura de Guerra,9
1199,Sabedoria de Natureza,10
1200,Segredo de Ecos,1
1201,Caminho de Horizonte,2
1202,Tradição de Fogo,3
1203,Memória de Segredo,4
1204,Horizonte de Sombras,5
1205,Futuro de Sombras,6
1206,Ecos de Sonho,7
1207,Memória de Labirinto,8
1208,História de Sombras,9
1209,Coração de Tradição,10
1210,Terra de Raízes,1
1211,Vida de Horizonte,2
1212,Aventura de Destino,3
1213,Enigma de Vida,4
1214,Memória de Mistério,5
1215,Guerra de Fronteira,6
1216,Futuro de Viagem,7
1217,Fogo de Terra,8
1218,Céu de Natureza,9
1219,Sonho de Viagem,10
1220,Amor de Refúgio,1
1221,Aventura de Revolução,2
1222,Mistério de Aventura,3
1223,Raízes de Terra,4
1224,Sabedoria de Refúgio,5
1225,Horizontes de Memória,6
1226,Alma de Eterno,7
1227,Refúgio de Reflexo,8
1228,Montanha de Sonho,9
1229,Fronteira de Montanha,10
1230,Enigma de Futuro,1
1231,Montanha de Alma,2
1232,Cidade de Segredo,3
1233,Cidade de Sabedoria,4
1234,Montanha de Horizontes,5
1235,Revolução de Sabedoria,6
1236,Terra de Renascer,7
1237,Eterno de Aventura,8
1238,Mar de Luz,9
1239,Labirinto de Raízes,10
1240,Vento de Tradição,1
1241,Eterno de Viagem,2
1242,Vida de Mistério,3
1243,Aventura de Caminhada,4
1244,Raízes de Tradição,5
1245,Vida de Refúgio,6
1246,Terra de Reflexo,7
1247,Horizontes de Liberdade,8
1248,Vida de Futuro,9
1249,Sombras de Liberdade,10
1250,Cidade de Refúgio,1
1251,Guerra de Mar,2
1252,Fronteira de Sombras,3
1253,Natureza de Vida,4
1254,Aventura de Alma,5
1255,Montanha de Eterno,6
1256,Labirinto de Refúgio,7
1257,Fronteira de Horizontes,8
1258,Memória de Revolução,9
1259,Fronteira de Revolução,10
1260,Revolução de Renascer,1
1261,Segredo de Herança,2
1262,Labirinto de Alma,3
1263,Luz de Enigma,4
1264,Fogo de Enigma,5
1265,História de Refúgio,6
1266,Tradição de Horizonte,7
1267,Luz de Sabedoria,8
1268,Céu de Segredo,9
1269,Tradição de Fronteira,10
1270,Ecos de Aventura,1
1271,Liberdade de Raízes,2
1272,Caminho de Montanha,3
1273,Memória de Herança,4
1274,Esperança de Mar,5
1275,História de Sonho,6
1276,Imortal de Céu,7
1277,Horizontes de Revolução,8
1278,Céu de Sombras,9
1279,Luz de Segredo,10
1280,Eterno de Sombras,1
1281,Vida de Montanha,2
1282,Luz de Aventura,3
1283,Céu de Amor,4
1284,História de Renascer,5
1285,Caminhada de Mistério,6
1286,Cidade de Coração,7
1287,Guerra de Imortal,8
1288,Fronteira de Caminho,9
1289,Luz de Eterno,10
1290,Sonho de História,1
1291,Herança de Enigma,2
1292,Memória de Amor,3
1293,Memória de Reflexo,4
1294,Sonho de Enigma,5
1295,Refúgio de Destino,6
1296,Liberdade de Futuro,7
1297,Cidade de Ecos,8
1298,Horizontes de Guerra,9
1299,Tradição de Coração,10
1300,Enigma de Guerra,1
1301,Labirinto de Céu,2
1302,Esperança de Tradição,3
1303,Luz de Horizontes,4
1304,Horizontes de Terra,5
1305,Fogo de História,6
1306,Reflexo de Céu,7
1307,Guerra de Terra,8
1308,Reflexo de Liberdade,9
1309,Caminhada de Horizonte,10
1310,Segredo de Céu,1
1311,História de Amor,2
1312,Memória de Destino,3
1313,Liberdade de Vento,4
1314,Memória de História,5
1315,Destino de Guerra,6
1316,Céu de Labirinto,7
1317,Enigma de Mar,8
1318,Amor de Caminho,9
1319,Sombras de Segredo,10
1320,Vento de Vento,1
1321,Montanha de Ecos,2
1322,Sombras de Reflexo,3
1323,Montanha de Refúgio,4
1324,Natureza de Natureza,5
1325,Viagem de Esperança,6
1326,Refúgio de Cidade,7
1327,Luz de Liberdade,8
1328,Mistério de Segredo,9
1329,Herança de Alma,10
1330,Horizontes de Enigma,1
1331,Raízes de Mistério,2
1332,Mar de Montanha,3
1333,Luz de Coração,4
1334,Fronteira de Destino,5
1335,Montanha de Guerra,6
1336,Horizontes de Vida,7
1337,Labirinto de Esperança,8
1338,Mistério de Revolução,9
1339,Refúgio de História,10
1340,Labirinto de Aventura,1
1341,Viagem de Renascer,2
1342,Horizontes de Horizonte,3
1343,Cidade de Natureza,4
1344,Luz de Cidade,5
1345,Liberdade de Enigma,6
1346,Futuro de Caminhada,7
1347,Coração de Esperança,8
1348,Eterno de Montanha,9
1349,Viagem de Céu,10
1350,Herança de Tradição,1
1351,Alma de Montanha,2
1352,Esperança de Luz,3
1353,História de Vida,4
1354,Fronteira de Coração,5
1355,Horizontes de Horizontes,6
1356,Natureza de Tradição,7
1357,Ecos de Labirinto,8
1358,Sombras de Alma,9
1359,Refúgio de Sonho,10
1360,Herança de Céu,1
1361,Memória de Cidade,2
1362,Mistério de Guerra,3
1363,Mar de Enigma,4
1364,Imortal de Horizontes,5
1365,Revolução de Horizontes,6
1366,Memória de Memória,7
1367,Herança de História,8
1368,Terra de Horizontes,9
1369,História de Natureza,10
1370,Montanha de Sombras,1
1371,Tradição de Montanha,2
1372,Raízes de Guerra,3
1373,Memória de Enigma,4
1374,Vento de Fronteira,5
1375,Horizontes de Refúgio,6
1376,Esperança de História,7
1377,Guerra de Mistério,8
1378,Horizonte de Alma,9
1379,Reflexo de Eterno,10
1380,Fronteira de Céu,1
1381,Esperança de Destino,2
1382,Eterno de Ecos,3
1383,História de Tradição,4
1384,Natureza de Sabedoria,5
1385,Montanha de Revolução,6
1386,Sonho de Coração,7
1387,Memória de Mar,8
1388,Futuro de Caminho,9
1389,Caminho de Herança,10
1390,Horizontes de Fronteira,1
1391,Renascer de Caminho,2
1392,Destino de Destino,3
1393,Futuro de Terra,4
1394,Ecos de Raízes,5
1395,Raízes de Futuro,6
1396,Esperança de Montanha,7
1397,Cidade de Fronteira,8
1398,Céu de Horizonte,9
1399,Natureza de Caminhada,10
1400,Sombras de Luz,1
1401,Sombras de Mistério,2
1402,Renascer de Fogo,3
1403,Vento de Montanha,4
1404,Enigma de Ecos,5
1405,Terra de Eterno,6
1406,Vento de Amor,7
1407,Alma de Imortal,8
1408,Caminho de Alma,9
1409,Futuro de História,10
1410,Caminho de Fronteira,1
1411,Vida de Caminhada,2
1412,Natureza de Segredo,3
1413,Refúgio de Esperança,4
1414,Cidade de Céu,5
1415,Destino de Reflexo,6
1416,Revolução de Sonho,7
1417,Eterno de Horizonte,8
1418,Sombras de Sabedoria,9
1419,Mar de Fronteira,10
1420,Caminho de Refúgio,1
1421,Revolução de Labirinto,2
1422,Herança de Sonho,3
1423,Horizontes de Fogo,4
1424,Reflexo de Vida,5
1425,Mistério de Vento,6
1426,Alma de Ecos,7
1427,Sonho de Labirinto,8
1428,História de Terra,9
1429,Montanha de Montanha,10
1430,Fogo de Segredo,1
1431,Sabedoria de Horizontes,2
1432,Horizonte de Sonho,3
1433,Refúgio de Terra,4
1434,Herança de Futuro,5
1435,Labirinto de Horizontes,6
1436,Tradição de Mar,7
1437,Amor de Revolução,8
1438,Horizontes de Eterno,9
1439,Eterno de Imortal,10
1440,Montanha de Fronteira,1
1441,Destino de Caminho,2
1442,Reflexo de Sombras,3
1443,Caminhada de Mar,4
1444,Viagem de História,5
1445,Vento de Aventura,6
1446,Coração de Terra,7
1447,Reflexo de Horizonte,8
1448,Sonho de Reflexo,9
1449,Labirinto de Viagem,10
1450,Memória de Imortal,1
1451,Revolução de Ecos,2
1452,Vida de Caminho,3
1453,Sonho de Aventura,4
1454,Fronteira de Reflexo,5
1455,Esperança de Vento,6
1456,Fronteira de Sabedoria,7
1457,Segredo de Revolução,8
1458,Natureza de Caminho,9
1459,Vida de Viagem,10
1460,Sabedoria de Fronteira,1
1461,História de Ecos,2
1462,Herança de Terra,3
1463,Memória de Sombras,4
1464,Natureza de Horizontes,5
1465,Esperança de Caminho,6
1466,Amor de Memória,7
1467,Caminhada de Refúgio,8
1468,Viagem de Terra,9
1469,Vento de Memória,10
1470,Terra de Revolução,1
1471,Raízes de Alma,2
1472,Sabedoria de Ecos,3
1473,Cidade de Liberdade,4
1474,Horizontes de Cidade,5
1475,Imortal de Herança,6
1476,Ecos de Céu,7
1477,Eterno de Natureza,8
1478,Sonho de Céu,9
1479,Horizonte de Esperança,10
1480,Raízes de Refúgio,1
1481,Renascer de Futuro,2
1482,Vento de Herança,3
1483,Herança de Esperança,4
1484,Eterno de Herança,5
1485,Mistério de Liberdade,6
1486,Guerra de Montanha,7
1487,Ecos de Revolução,8
1488,Horizonte de Horizonte,9
1489,Refúgio de Alma,10
1490,Segredo de Caminho,1
1491,Montanha de Mistério,2
1492,Herança de Montanha,3
1493,Liberdade de Coração,4
1494,Fogo de Horizontes,5
1495,Mar de Vida,6
1496,Raízes de Reflexo,7
1497,Fronteira de Vida,8
1498,Terra de Luz,9
1499,Horizonte de Vento,10
1500,Caminho de Amor,1
1501,Enigma de Refúgio,2
1502,Terra de Ecos,3
1503,Ecos de Mar,4
1504,Fogo de Aventura,5
1505,Revolução de Sombras,6
1506,Enigma de Esperança,7
1507,Destino de Liberdade,8
1508,Fronteira de Refúgio,9
1509,Renascer de Ecos,10
1510,Amor de Raízes,1
1511,Fogo de Reflexo,2
1512,Liberdade de Ecos,3
1513,Natureza de Imortal,4
1514,Herança de Sombras,5
1515,Segredo de Vida,6
1516,Luz de Futuro,7
1517,Viagem de Eterno,8
1518,Destino de Renascer,9
1519,Sabedoria de Sombras,10
1520,Sabedoria de Luz,1
1521,Luz de Guerra,2
1522,Mistério de Cidade,3
1523,Sonho de Mar,4
1524,Mar de Horizonte,5
1525,Herança de Destino,6
1526,Esperança de Futuro,7
1527,Viagem de Sombras,8
1528,Sombras de Coração,9
1529,Montanha de Cidade,10
1530,Segredo de Mistério,1
1531,Mistério de Destino,2
1532,Eterno de Fogo,3
1533,Labirinto de Liberdade,4
1534,História de Memória,5
1535,Fronteira de Amor,6
1536,Futuro de Memória,7
1537,Sombras de Enigma,8
1538,Terra de Mar,9
1539,Imortal de Caminho,10
1540,Destino de Fronteira,1
1541,Cidade de História,2
1542,Viagem de Sabedoria,3
1543,Céu de Tradição,4
1544,Montanha de Terra,5
1545,Ecos de Horizonte,6
1546,Guerra de Caminhada,7
1547,Revolução de Horizonte,8
1548,Esperança de Coração,9
1549,Viagem de Coração,10
1550,Céu de Esperança,1
1551,Liberdade de Revolução,2
1552,Destino de Imortal,3
1553,Caminho de Horizontes,4
1554,Refúgio de Guerra,5
1555,Sombras de Renascer,6
1556,Fronteira de Sonho,7
1557,Coração de Sabedoria,8
1558,Eterno de Caminho,9
1559,Luz de Destino,10
1560,Montanha de Reflexo,1
1561,Montanha de História,2
1562,Sombras de Cidade,3
1563,Imortal de Vento,4
1564,Sombras de Fogo,5
1565,Mar de Herança,6
1566,Segredo de Fronteira,7
1567,Segredo de Renascer,8
1568,Enigma de Enigma,9
1569,Liberdade de Esperança,10
1570,Refúgio de Labirinto,1
1571,Revolução de Reflexo,2
1572,Natureza de Liberdade,3
1573,Imortal de História,4
1574,Ecos de Amor,5
1575,Aventura de Liberdade,6
1576,Luz de Vento,7
1577,Futuro de Horizonte,8
1578,Sonho de Amor,9
1579,Horizontes de Sombras,10
1580,Tradição de Enigma,1
1581,Caminhada de Luz,2
1582,Guerra de Sombras,3
1583,Horizontes de Sabedoria,4
1584,Sonho de Esperança,5
1585,Segredo de Horizonte,6
1586,Mar de Mar,7
1587,Coração de Liberdade,8
1588,História de Sabedoria,9
1589,Sombras de Horizonte,10
1590,Imortal de Raízes,1
1591,Enigma de Viagem,2
1592,Enigma de Montanha,3
1593,Tradição de Caminhada,4
1594,Ecos de Montanha,5
1595,Caminho de Cidade,6
1596,Céu de Imortal,7
1597,Sombras de Viagem,8
1598,Alma de Reflexo,9
1599,Esperança de Horizontes,10
1600,Sonho de Mistério,1
1601,Horizontes de Natureza,2
1602,Sabedoria de Herança,3
1603,Vento de Sombras,4
1604,Refúgio de Enigma,5
1605,Futuro de Céu,6
1606,Guerra de Céu,7
1607,Amor de Horizonte,8
1608,Refúgio de Aventura,9
1609,Caminho de Caminho,10
1610,Fogo de Refúgio,1
1611,Renascer de Vida,2
1612,Tradição de Caminho,3
1613,Aventura de Fogo,4
1614,Tradição de Sombras,5
1615,Liberdade de Natureza,6
1616,Luz de Reflexo,7
1617,Mistério de Céu,8
1618,Alma de Sombras,9
1619,Reflexo de Horizontes,10
1620,Guerra de Sonho,1
1621,Viagem de Caminho,2
1622,Terra de Vida,3
1623,Ecos de Enigma,4
1624,Mistério de Caminho,5
1625,Mistério de Esperança,6
1626,Sonho de Luz,7
1627,Montanha de Caminho,8
1628,Destino de Vento,9
1629,Horizontes de Herança,10
1630,Labirinto de Cidade,1
1631,Sombras de Imortal,2
1632,Guerra de Esperança,3
1633,Horizonte de Horizontes,4
1634,Raízes de Caminhada,5
1635,Viagem de Viagem,6
1636,Luz de Fronteira,7
1637,Coração de Cidade,8
1638,Sabedoria de Labirinto,9
1639,Sabedoria de Liberdade,10
1640,Enigma de Imortal,1
1641,Ecos de Imortal,2
1642,Memória de Horizontes,3
1643,Mar de Labirinto,4
1644,Raízes de Cidade,5
1645,Fronteira de Mar,6
1646,Fogo de Horizonte,7
1647,Caminho de Revolução,8
1648,Herança de Caminho,9
1649,Vento de Alma,10
1650,Segredo de Alma,1
1651,Memória de Sabedoria,2
1652,Fogo de Imortal,3
1653,Sombras de Aventura,4
1654,Aventura de Terra,5
1655,Tradição de Renascer,6
1656,História de Reflexo,7
1657,Enigma de Horizontes,8
1658,Vida de Natureza,9
1659,Natureza de Sonho,10
1660,Memória de Caminho,1
1661,Enigma de Mistério,2
1662,Caminhada de Guerra,3
1663,História de Céu,4
1664,Destino de Enigma,5
1665,Segredo de Esperança,6
1666,Vento de Vida,7
1667,Liberdade de Imortal,8
1668,Viagem de Ecos,9
1669,Sonho de Sombras,10
1670,Refúgio de Coração,1
1671,Caminho de Raízes,2
1672,Horizonte de Fogo,3
1673,Sonho de Sonho,4
1674,Cidade de Tradição,5
1675,Vida de Sonho,6
1676,Revolução de Caminhada,7
1677,Aventura de Caminho,8
1678,Segredo de Natureza,9
1679,Coração de Refúgio,10
1680,Montanha de Horizonte,1
1681,Montanha de Viagem,2
1682,Caminho de Mar,3
1683,Segredo de Enigma,4
1684,Natureza de Labirinto,5
1685,Sombras de Natureza,6
1686,Memória de Montanha,7
1687,Cidade de Cidade,8
1688,Caminho de Mistério,9
1689,Natureza de Sombras,10
1690,Horizonte de Montanha,1
1691,Labirinto de Ecos,2
1692,Segredo de Terra,3
1693,Terra de Terra,4
1694,Natureza de Aventura,5
1695,Fogo de Eterno,6
1696,Montanha de Luz,7
1697,Reflexo de História,8
1698,Viagem de Vida,9
1699,Revolução de Vento,10
1700,Mistério de Viagem,1
1701,Terra de Caminho,2
1702,Fronteira de Ecos,3
1703,Destino de Coração,4
1704,Fronteira de Terra,5
1705,Coração de Raízes,6
1706,Herança de Reflexo,7
1707,Vida de Ecos,8
1708,Mistério de Horizonte,9
1709,Natureza de Ecos,10
1710,Amor de Vento,1
1711,Herança de Horizontes,2
1712,Esperança de Céu,3
1713,Amor de Tradição,4
1714,Fogo de Liberdade,5
1715,Horizontes de Reflexo,6
1716,Labirinto de Horizonte,7
1717,Fogo de Alma,8
1718,Sabedoria de Memória,9
1719,Segredo de Labirinto,10
1720,Viagem de Natureza,1
1721,Labirinto de Coração,2
1722,Cidade de Sombras,3
1723,Cidade de Renascer,4
1724,Mar de Vento,5
1725,Sabedoria de Aventura,6
1726,Viagem de Revolução,7
1727,Refúgio de Viagem,8
1728,Aventura de Segredo,9
1729,Caminhada de Esperança,10
1730,Sabedoria de Revolução,1
1731,Futuro de Luz,2
1732,Sabedoria de Imortal,3
1733,Fogo de Cidade,4
1734,Fronteira de Renascer,5
1735,Tradição de Alma,6
1736,Vida de Enigma,7
1737,Caminho de Terra,8
1738,Fogo de Luz,9
1739,Labirinto de Terra,10
1740,Labirinto de Destino,1
1741,Caminhada de Raízes,2
1742,Natureza de Mar,3
1743,Mistério de Renascer,4
1744,Segredo de Fogo,5
1745,Mar de Natureza,6
1746,Caminhada de Sabedoria,7
1747,Refúgio de Tradição,8
1748,Liberdade de Mar,9
1749,Céu de Sonho,10
1750,Cidade de Revolução,1
1751,História de Mar,2
1752,Sombras de História,3
1753,Enigma de Revolução,4
1754,Ecos de Segredo,5
1755,Viagem de Sonho,6
1756,Raízes de Destino,7
1757,Natureza de Terra,8
1758,Sombras de Tradição,9
1759,Mistério de Fogo,10
1760,Cidade de Sonho,1
1761,Raízes de Natureza,2
1762,Mar de Aventura,3
1763,Horizonte de Labirinto,4
1764,Futuro de Renascer,5
1765,Terra de Amor,6
1766,Liberdade de Viagem,7
1767,Sombras de Destino,8
1768,Reflexo de Viagem,9
1769,Mar de Caminhada,10
1770,Terra de Horizonte,1
1771,Terra de História,2
1772,Eterno de Enigma,3
1773,Aventura de Céu,4
1774,Horizonte de Vida,5
1775,Imortal de Viagem,6
1776,Horizontes de Montanha,7
1777,Amor de História,8
1778,Fogo de Amor,9
1779,Raízes de Vento,10
1780,Caminhada de Segredo,1
1781,Raízes de Terra,2
1782,Eterno de Mistério,3
1783,Vida de Imortal,4
1784,Montanha de Refúgio,5
1785,Cidade de História,6
1786,Reflexo de Refúgio,7
1787,Memória de Natureza,8
1788,Sombras de Revolução,9
1789,Vento de Sombras,10
1790,Reflexo de Aventura,1
1791,Horizonte de Montanha,2
1792,Herança de Futuro,3
1793,Montanha de Esperança,4
1794,Horizonte de Revolução,5
1795,Herança de Tradição,6
1796,Refúgio de Renascer,7
1797,Mistério de Terra,8
1798,Vida de Refúgio,9
1799,Terra de Liberdade,10
1800,Guerra de Revolução,1
1801,Coração de Terra,2
1802,Destino de Renascer,3
1803,Destino de Horizonte,4
1804,Natureza de História,5
1805,Horizontes de Horizontes,6
1806,Destino de Natureza,7
1807,Alma de Cidade,8
1808,Memória de Horizontes,9
1809,Memória de Labirinto,10
1810,Horizonte de Sombras,1
1811,Fronteira de Sonho,2
1812,História de Refúgio,3
1813,Viagem de Ecos,4
1814,Caminho de Imortal,5
1815,Tradição de Vento,6
1816,Horizontes de Eterno,7
1817,Montanha de Sonho,8
1818,Montanha de Coração,9
1819,Montanha de Caminhada,10
1820,Vento de Segredo,1
1821,Reflexo de Vida,2
1822,Refúgio de Céu,3
1823,Vida de Herança,4
1824,História de Fogo,5
1825,Aventura de Segredo,6
1826,Destino de Destino,7
1827,Sabedoria de Herança,8
1828,Esperança de Sonho,9
1829,Terra de Raízes,10
1830,Montanha de Sabedoria,1
1831,Eterno de Coração,2
1832,Ecos de Amor,3
1833,Futuro de Horizontes,4
1834,Cidade de Montanha,5
1835,Vida de Raízes,6
1836,Fronteira de Sabedoria,7
1837,Natureza de Vida,8
1838,Guerra de Sonho,9
1839,Terra de Sombras,10
1840,Coração de Terra,1
1841,Natureza de Aventura,2
1842,Viagem de Tradição,3
1843,Labirinto de Mar,4
1844,Memória de Alma,5
1845,Refúgio de Mar,6
1846,Revolução de Ecos,7
1847,Cidade de Luz,8
1848,História de Coração,9
1849,Horizonte de Eterno,10
1850,Montanha de Terra,1
1851,Herança de Renascer,2
1852,Enigma de Caminho,3
1853,Eterno de Memória,4
1854,Sombras de Ecos,5
1855,Vida de Liberdade,6
1856,Aventura de Segredo,7
1857,Terra de Guerra,8
1858,Vida de Sombras,9
1859,Fronteira de Viagem,10
1860,Revolução de Guerra,1
1861,Aventura de Fronteira,2
1862,Renascer de Herança,3
1863,Esperança de Viagem,4
1864,Reflexo de Liberdade,5
1865,Fronteira de Futuro,6
1866,Sabedoria de Destino,7
1867,Aventura de Refúgio,8
1868,Guerra de Labirinto,9
1869,Refúgio de Guerra,10
1870,Ecos de Aventura,1
1871,Labirinto de Luz,2
1872,Herança de Amor,3
1873,Terra de Ecos,4
1874,Fogo de Horizontes,5
1875,Enigma de Labirinto,6
1876,Vento de Ecos,7
1877,Destino de Aventura,8
1878,Mar de Mar,9
1879,Futuro de Horizonte,10
1880,Sonho de Alma,1
1881,Terra de Montanha,2
1882,Fogo de Vida,3
1883,Caminhada de Luz,4
1884,Enigma de Caminho,5
1885,Aventura de Terra,6
1886,Caminhada de Imortal,7
1887,Revolução de Esperança,8
1888,Futuro de Céu,9
1889,Fogo de Horizontes,10
1890,Refúgio de Reflexo,1
1891,Amor de Raízes,2
1892,Fogo de Eterno,3
1893,Esperança de Ecos,4
1894,Memória de Tradição,5
1895,Guerra de Cidade,6
1896,Sonho de Natureza,7
1897,Horizontes de Memória,8
1898,Herança de Ecos,9
1899,História de Renascer,10
1900,Renascer de Horizonte,1
1901,Horizontes de Futuro,2
1902,Cidade de História,3
1903,Sombras de Tradição,4
1904,Mistério de Destino,5
1905,Caminhada de Horizontes,6
1906,Vida de Sonho,7
1907,Futuro de Montanha,8
1908,Refúgio de Renascer,9
1909,Eterno de Alma,10
1910,Cidade de Sombras,1
1911,Destino de Coração,2
1912,Imortal de Destino,3
1913,Sabedoria de Liberdade,4
1914,História de Horizonte,5
1915,Enigma de Raízes,6
1916,Vida de Guerra,7
1917,Esperança de Ecos,8
1918,Céu de Enigma,9
1919,Vida de Alma,10
1920,Raízes de Eterno,1
1921,História de Natureza,2
1922,Mistério de Aventura,3
1923,Ecos de Cidade,4
1924,Sonho de Caminho,5
1925,Caminhada de Vida,6
1926,Raízes de Mar,7
1927,Enigma de Viagem,8
1928,Vida de Eterno,9
1929,Caminho de Fogo,10
1930,Fronteira de Mar,1
1931,Sonho de Cidade,2
1932,Céu de Sombras,3
1933,Fogo de Eterno,4
1934,Caminho de Caminho,5
1935,Reflexo de Raízes,6
1936,Amor de Caminho,7
1937,Liberdade de Mistério,8
1938,Sombras de Viagem,9
1939,Herança de Vida,10
1940,Tradição de Vento,1
1941,Viagem de Eterno,2
1942,Vento de Guerra,3
1943,Enigma de Vento,4
1944,Natureza de Mistério,5
1945,Raízes de Horizonte,6
1946,Segredo de Liberdade,7
1947,Horizontes de Mar,8
1948,Amor de Montanha,9
1949,Segredo de Imortal,10
1950,Mistério de Natureza,1
1951,Montanha de Luz,2
1952,Reflexo de Montanha,3
1953,Ecos de Viagem,4
1954,Montanha de Horizonte,5
1955,Fogo de Sabedoria,6
1956,Coração de Eterno,7
1957,Caminhada de Luz,8
1958,Viagem de Amor,9
1959,Fronteira de Destino,10
1960,Guerra de Esperança,1
1961,Vento de Luz,2
